District,Year,Avg_Temperature_C_Jan,Avg_Temperature_C_Feb,Avg_Temperature_C_Mar,Avg_Temperature_C_Apr,Avg_Temperature_C_May,Avg_Temperature_C_Jun,Avg_Temperature_C_Jul,Avg_Temperature_C_Aug,Avg_Temperature_C_Sep,Avg_Temperature_C_Oct,Avg_Temperature_C_Nov,Avg_Temperature_C_Dec,Rainfall_mm_Jan,Rainfall_mm_Feb,Rainfall_mm_Mar,Rainfall_mm_Apr,Rainfall_mm_May,Rainfall_mm_Jun,Rainfall_mm_Jul,Rainfall_mm_Aug,Rainfall_mm_Sep,Rainfall_mm_Oct,Rainfall_mm_Nov,Rainfall_mm_Dec,Crop_Yield_t_per_ha
Ahmedabad,2019,15.61,20.39,31.6,29.65,31.64,26.23,29.44,31.45,28.45,21.16,20.95,16.9,24.45,13.9,20.15,26.48,24.2,258.13,261.36,260.02,326.63,47.18,137.88,45.58,4.1499999999999995
Ahmedabad,2020,16.87,21.08,38.18,35.07,34.34,26.36,27.66,29.39,28.18,21.72,22.57,17.83,21.85,40.06,32.08,25.93,14.49,279.83,257.34,327.77,353.88,94.19,44.0,18.78,3.2266666666666666
Ahmedabad,2021,21.03,15.95,35.66,35.44,35.6,25.49,25.18,26.94,24.21,26.07,23.26,17.62,26.31,38.54,25.82,16.96,0.63,297.43,221.28,318.57,288.51,94.15,112.05,33.9,2.74
Ahmedabad,2022,15.78,18.41,23.39,34.7,33.06,28.79,28.71,26.05,28.71,22.32,23.39,16.95,19.48,16.22,18.39,27.78,9.02,251.33,286.08,235.38,268.94,72.32,147.04,19.86,3.6500000000000004
Ahmedabad,2023,18.2,14.47,32.74,27.31,34.38,28.59,28.93,24.77,26.53,24.4,21.97,18.86,8.69,9.73,20.87,14.71,7.46,212.17,278.22,338.24,239.49,134.46,101.85,26.93,3.62
Bangalore,2019,17.99,21.01,31.34,32.63,31.26,26.0,31.6,26.86,30.8,24.12,25.4,19.79,8.42,28.77,20.27,-0.42,13.18,265.94,312.04,308.63,326.23,80.59,111.8,26.35,4.083333333333333
Bangalore,2020,20.1,20.63,38.23,37.21,30.05,27.36,29.05,27.95,31.46,24.08,25.23,17.49,14.65,21.98,13.11,21.98,15.16,301.21,251.31,387.11,301.82,103.6,69.32,3.31,2.9766666666666666
Bangalore,2021,18.8,17.03,28.32,27.31,31.68,24.73,29.6,29.07,30.75,24.8,24.65,14.7,26.47,35.74,5.36,40.02,37.81,251.36,288.96,217.31,318.85,79.43,91.26,19.5,4.48
Bangalore,2022,17.69,13.53,28.53,33.12,34.42,30.22,24.89,23.81,27.48,25.3,22.32,19.69,30.62,22.35,23.19,19.13,7.54,244.6,266.38,292.71,341.68,58.24,115.62,32.23,3.7466666666666666
Bangalore,2023,20.43,18.73,31.09,31.79,34.18,29.47,28.16,29.83,30.0,28.18,26.22,19.23,19.1,32.99,23.8,19.63,20.52,275.96,180.09,297.32,135.19,95.81,68.8,9.47,2.72
